generation,mean_fitness,best_fitness
442,-150806.718750,-14193.242188
443,-150850.750000,-14167.849609
444,-150731.484375,-14166.749023
445,-150816.468750,-14025.334961
446,-150832.671875,-13985.905273
447,-150853.328125,-14026.172852
448,-150865.140625,-13955.949219
449,-151023.171875,-13991.640625
450,-150955.843750,-13936.070312
451,-150950.140625,-13816.497070
452,-150886.468750,-13702.853516
453,-150909.859375,-13632.315430
454,-150896.093750,-13775.332031
455,-150883.453125,-13878.983398
456,-150939.750000,-13862.400391
457,-150927.031250,-13832.982422
458,-150986.390625,-13783.619141
459,-150981.421875,-13868.727539
460,-150959.515625,-14023.576172
461,-150981.093750,-14024.290039
462,-151071.281250,-13974.937500
463,-150996.093750,-14057.806641
464,-151023.718750,-13756.536133
465,-151086.453125,-14042.036133
466,-151028.593750,-14041.111328
467,-150988.750000,-14172.068359
468,-151009.984375,-14169.107422
469,-151002.359375,-14115.356445
470,-151100.578125,-13864.343750
471,-151054.187500,-13802.327148
472,-151019.968750,-13686.157227
473,-151179.000000,-13972.185547
474,-151264.812500,-14576.348633
475,-151180.046875,-14637.343750
476,-151074.328125,-14683.137695
477,-151090.625000,-14702.760742
478,-151105.468750,-14705.046875
479,-151088.125000,-14419.102539
480,-151201.140625,-14581.343750
481,-151303.453125,-14385.590820
482,-151308.375000,-14391.828125
483,-151136.218750,-14405.702148
484,-151246.593750,-14498.377930
485,-151363.843750,-14502.934570
486,-151377.265625,-14490.172852
487,-151329.984375,-14557.506836
488,-151231.578125,-14723.615234
489,-151322.593750,-14654.924805
490,-151233.015625,-14641.489258
491,-151165.812500,-14504.708984
492,-151140.093750,-14680.171875
493,-150996.890625,-14683.344727
494,-151056.234375,-14781.077148
495,-151033.906250,-14824.114258
496,-151000.140625,-14900.507812
497,-150970.609375,-14871.731445
498,-150959.781250,-14890.817383
499,-150869.093750,-14609.603516
500,-150884.093750,-14800.024414
501,-150843.750000,-14968.645508
502,-150720.656250,-14973.572266
503,-150457.796875,-14883.977539
504,-150516.781250,-15261.246094
505,-150374.078125,-15298.633789
506,-150416.718750,-15306.508789
507,-150292.828125,-15393.514648
508,-150267.921875,-15323.041016
509,-150258.281250,-15338.361328
