generation,mean_fitness,best_fitness
638,-62329.320312,-62199.011719
639,-62199.925781,-62198.316406
640,-62293.164062,-62198.769531
641,-62246.671875,-62198.839844
642,-62200.855469,-62198.500000
643,-62375.019531,-62198.535156
644,-62231.269531,-62198.761719
645,-62231.328125,-62198.007812
646,-62199.800781,-62198.507812
647,-62231.355469,-62198.554688
648,-62200.609375,-62198.542969
649,-62276.843750,-62198.878906
650,-62262.511719,-62198.699219
651,-62297.730469,-62198.285156
652,-62395.730469,-62198.839844
653,-62199.750000,-62197.878906
654,-62245.718750,-62198.625000
655,-62200.000000,-62198.535156
656,-62201.031250,-62198.875000
657,-62245.550781,-62198.515625
658,-62387.308594,-62198.863281
659,-62324.023438,-62198.753906
660,-62296.355469,-62198.890625
661,-62326.843750,-62198.503906
662,-62199.878906,-62198.988281
663,-62200.988281,-62198.468750
664,-62564.890625,-62198.496094
665,-62342.101562,-62198.843750
666,-62231.199219,-62198.593750
667,-62231.644531,-62198.382812
668,-62326.886719,-62198.531250
669,-62343.300781,-62197.871094
670,-62278.085938,-62198.523438
671,-62438.976562,-62199.054688
672,-62246.281250,-62198.417969
673,-62390.480469,-62198.777344
674,-62200.070312,-62198.652344
675,-62200.906250,-62198.546875
676,-62232.000000,-62198.066406
677,-62326.925781,-62198.699219
678,-62247.000000,-62199.039062
679,-62200.769531,-62198.683594
680,-62232.101562,-62198.718750
681,-62199.761719,-62198.847656
682,-62199.953125,-62198.128906
683,-62201.406250,-62199.144531
684,-62199.746094,-62197.929688
685,-62295.308594,-62198.492188
686,-62231.039062,-62198.886719
687,-62295.503906,-62198.382812
688,-62343.496094,-62198.437500
689,-62245.570312,-62198.773438
690,-62199.718750,-62198.679688
691,-62344.136719,-62197.632812
692,-62262.328125,-62197.953125
693,-62199.824219,-62197.742188
694,-62200.476562,-62199.011719
695,-62199.785156,-62198.386719
696,-62245.726562,-62198.945312
697,-62200.500000,-62198.980469
698,-62199.878906,-62198.484375
699,-62277.070312,-62198.824219
700,-62277.343750,-62198.570312
701,-62200.210938,-62198.531250
702,-62422.558594,-62199.015625
703,-62200.011719,-62198.593750
704,-62199.859375,-62198.523438
705,-62245.664062,-62198.800781
706,-62293.230469,-62198.359375
707,-62326.476562,-62198.707031
708,-62389.550781,-62198.816406
709,-62231.300781,-62198.835938
710,-62292.238281,-62199.050781
711,-62246.898438,-62199.019531
712,-62199.734375,-62198.773438
713,-62199.910156,-62198.757812
714,-62200.695312,-62198.781250
715,-62326.753906,-62198.839844
716,-62295.699219,-62199.007812
717,-62199.824219,-62198.214844
718,-62294.980469,-62198.742188
719,-62342.046875,-62198.542969
720,-62247.023438,-62198.796875
721,-62246.820312,-62198.183594
722,-62231.289062,-62198.867188
723,-62199.750000,-62198.636719
724,-62263.460938,-62198.187500
725,-62424.906250,-62198.828125
726,-62199.781250,-62198.550781
727,-62231.273438,-62198.488281
728,-62278.058594,-62198.710938
729,-62471.433594,-62198.378906
730,-62245.746094,-62198.648438
731,-62549.328125,-62198.660156
732,-62231.851562,-62198.843750
733,-62199.910156,-62198.570312
734,-62417.015625,-62198.601562
735,-62245.671875,-62198.699219
736,-62262.710938,-62198.738281
737,-62201.191406,-62198.816406
738,-62245.589844,-62198.632812
739,-62231.093750,-62198.777344
740,-62245.718750,-62198.605469
741,-62199.765625,-62198.347656
742,-62199.781250,-62197.792969
743,-62199.808594,-62198.738281
744,-62308.976562,-62198.609375
745,-62342.214844,-62198.339844
746,-62324.671875,-62198.820312
747,-62329.324219,-62198.679688
748,-62326.566406,-62198.214844
749,-62295.566406,-62198.187500
750,-62199.949219,-62199.101562
751,-62326.328125,-62198.621094
752,-62246.765625,-62198.714844
753,-62199.816406,-62198.550781
754,-62295.105469,-62198.652344
755,-62232.000000,-62198.726562
756,-62200.050781,-62198.683594
757,-62298.738281,-62198.925781
758,-62231.050781,-62198.832031
759,-62231.144531,-62198.089844
760,-62295.175781,-62198.585938
761,-62245.660156,-62198.902344
762,-62393.031250,-62198.753906
763,-62199.871094,-62198.820312
764,-62263.519531,-62198.777344
765,-62296.214844,-62198.820312
766,-62199.906250,-62198.773438
767,-62199.726562,-62198.667969
768,-62199.976562,-62198.925781
769,-62342.714844,-62199.027344
770,-62277.238281,-62198.863281
771,-62199.894531,-62199.035156
772,-62200.054688,-62198.847656
773,-62295.753906,-62198.902344
774,-62387.824219,-62198.500000
775,-62232.015625,-62199.128906
776,-62295.730469,-62198.789062
777,-62292.679688,-62198.449219
778,-62199.871094,-62198.207031
779,-62276.960938,-62198.343750
780,-62277.789062,-62198.589844
781,-62276.675781,-62198.859375
782,-62246.898438,-62198.886719
783,-62200.156250,-62198.726562
784,-62231.343750,-62198.832031
785,-62199.750000,-62198.652344
786,-62454.023438,-62198.703125
787,-62232.109375,-62198.480469
788,-62231.343750,-62198.914062
789,-62485.105469,-62198.796875
790,-62199.964844,-62198.679688
791,-62199.980469,-62198.648438
792,-62393.488281,-62198.367188
793,-62246.859375,-62198.726562
794,-62245.628906,-62198.531250
795,-62200.160156,-62198.296875
796,-62343.445312,-62198.695312
797,-62341.214844,-62198.636719
798,-62245.769531,-62198.882812
799,-62232.089844,-62198.312500
800,-62200.101562,-62198.875000
801,-62245.785156,-62198.453125
802,-62199.921875,-62198.851562
803,-62404.796875,-62198.828125
804,-62199.828125,-62198.750000
805,-62199.839844,-62198.476562
